epic_id,task,phase,start_sprint,sprints,description
9388,Data Quality Framework,Development,20,12,"Provide reusable checks for schema/constraints, row-count reconciliation, key/null rules, business metrics, and automated Spark<->Informatica comparison; publish failure triage and reports."
9390,Airflow DAG Orchestration,Development,5,20,"Create standard DAG patterns (task groups, retries, sensors, SLAs, backfills), idempotent task contracts, error handling, and unit tests; map DAC execution plans to DAG/task dependencies."
9391,Data Model & ETL Metadata Framework,Development,8,15,"Define and implement a metadata-driven framework for managing ETL data models, table definitions, lineage, and promotion workflows independent of execution pipelines and infrastructure. This framework establishes the canonical representation of data structures and transformation contracts using lakehouse technologies such as Apache Iceberg and Nessie, enabling consistent governance, schema evolution, and environment promotion."
9392,Incremental (CDC) Data Loads: Implementation,Development,21,12,"Implement CDC pipelines in Spark with partitioning/merge logic, initial full loads, backfill strategy, and Airflow orchestration; deliver metrics and operational dashboards."
9393,Data Anonymization POC,Development,7,6,Develop and pilot the PL/SQL anonymizer with deterministic masking preserving referential integrity; seed libraries/patterns and operationalize execution in approved environments.
7982,Test Data Management Framework,Development,15,12,"Produce repeatable anonymized Siebel/EIM and DW datasets (full and partial) for unit, integration, and parallel testing; maintain versioned snapshots and access controls."
10369,ICM Informatica Migration,Development,14,14,"Migrate all in-scope ICM batch processing workloads from Informatica to a modern, cloud-native execution framework (e.g., Spark/Airflow), while preserving existing operational behavior, business outcomes, and integration contracts. Eencompasses both: (1) Platform enablement (engineering patterns and reusable components); (2) Execution of individual job migrations (ETL workflows, batch processes, and integrations). The goal is to eliminate Informatica dependency, reduce vendor lock-in, and establish a scalable, observable, and supportable data processing platform."
9945,Workflow Integration Testing & Validation,Testing & Validation,17,12,"Verify end-to-end flows across Siebel EIM extracts, Spark transforms, Airflow orchestration, and DW loads; execute automated comparisons and defect triage."
9396,UAT Downstream Testing & Validation,Testing & Validation,22,8,"Conduct UAT with downstream consumers (reports, extracts, interfaces); validate business correctness, performance, and operational procedures for go-live readiness."
9404,Incremental Deploy ETL  DAGs,Deployment,24,12,Progressively deploy DW Spark/Airflow pipelines by subject area; run in parallel with DAC/Informatica nightly loads and switch-over upon meeting parity gates.
9398,Parallel Testing ETL (DW),Testing & Validation,27,12,Execute parallel DW testing across golden months and peak windows; reconcile variances and update patterns until Spark and legacy outputs match within tolerance.
9397,Parallel Testing ETL (Ops),Testing & Validation,27,9,"Run key operational jobs in parallel for multiple cycles (cheque run, reconciliation, EDQ); compare operational outcomes and obtain functional sign-off."
9402,Operational Readiness,Deployment,30,6,"Prepare runbooks, dashboards/alerts, incident processes, on-call model, capacity/performance monitoring, and handover for steady-state operations."
9399,Validation Close-out ICM Informatica (Ops),Testing & Validation,31,6,"Consolidate Ops parallel-run results, resolve residual gaps, complete acceptance records, and secure approval to retire operational Informatica components."
9403,Stabilization & Performance Tuning,Deployment,32,9,"Tune Spark performance (partitioning, joins, caching) and Airflow concurrency/pools; stabilize behavior under production load and finalize SLOs."
9400,Validation Close-out ICM DW Informatica & DAC (DW),Testing & Validation,40,3,"Finalize DW validation outcomes, address any remaining discrepancies, and obtain sign-off for decommission of DW Informatica and DAC scheduler."
9405,Decommission ICM Informatica/DAC (Ops/DW),Deployment,42,3,"Retire Informatica and DAC components services and integrations after sign-off; archive artifacts, revoke access, and update inventories/runbooks."
